Geneid	Chr	Start	End	Strand	Length	data/BAM_sorted/A-B-1_sorted.bam	data/BAM_sorted/A-B-2_sorted.bam	data/BAM_sorted/A-F-1_sorted.bam	data/BAM_sorted/A-F-2_sorted.bam	data/BAM_sorted/A-R-1_sorted.bam	data/BAM_sorted/A-R-2_sorted.bam	data/BAM_sorted/M-B-1_sorted.bam	data/BAM_sorted/M-B-2_sorted.bam	data/BAM_sorted/M-F-1_sorted.bam	data/BAM_sorted/M-F-2_sorted.bam	data/BAM_sorted/M-R-1_sorted.bam	data/BAM_sorted/M-R-2_sorted.bam	data/BAM_sorted/P-1_sorted.bam	data/BAM_sorted/P-2_sorted.bam
BW25113_RS00005	NZ_CP009273.1	190	252	+	63	42	73	53	52	48	46	43	54	32	44	39	55	80	77
BW25113_RS00010	NZ_CP009273.1	337	2796	+	2460	505	953	473	723	736	884	595	510	426	797	454	592	957	915
BW25113_RS00015	NZ_CP009273.1	2801	3730	+	930	345	546	268	449	293	476	1222	921	1031	1647	922	1354	838	845
BW25113_RS00020	NZ_CP009273.1	3734	5017	+	1284	508	862	396	646	526	800	1417	1167	1213	1815	1104	1909	1531	1455
BW25113_RS00030	NZ_CP009273.1	5234	5527	+	294	85	74	69	90	101	86	87	72	83	56	48	67	114	107
BW25113_RS00035	NZ_CP009273.1	5686	6459	-	774	1407	1044	996	1089	1433	993	1289	980	1668	1639	894	794	1579	1586
BW25113_RS00040	NZ_CP009273.1	6532	7959	-	1428	671	894	569	788	461	814	890	805	691	1298	697	1084	612	634
BW25113_RS00045	NZ_CP009273.1	8238	9188	+	951	17357	26375	16697	21371	17110	22582	27010	24497	25869	41245	24326	36844	33067	31139
BW25113_RS00050	NZ_CP009273.1	9306	9890	+	585	712	1167	639	920	664	882	869	592	769	1322	724	821	848	808
BW25113_RS00055	NZ_CP009273.1	9931	10494	-	564	542	747	473	669	589	611	343	284	366	635	272	296	491	501
BW25113_RS00060	NZ_CP009273.1	10646	11356	-	711	37	72	38	61	43	34	31	16	23	48	30	41	55	55
BW25113_RS00065	NZ_CP009273.1	11385	11786	-	402	21	16	10	20	11	16	13	13	9	27	14	28	20	15
BW25113_RS00070	NZ_CP009273.1	12163	14076	+	1914	16782	36947	15046	27466	15767	24975	22092	25399	28173	46749	22377	50103	56856	50907
